answer	qid
The   fell  a RV of  neighbor, and  narrator looked through  window of  narrator.	blogs-03-14
 My wife	blogs-03-15
The  beg to be broken, d the fire extinguisher eliminated the fire.	blogs-06-10
 The fire ascended to the ceiling of the house.	blogs-06-11
 the fire	blogs-06-12
The husband of   quickly shut  door of  oven in  to prevent  fire spreading.	blogs-06-13
So   my new range  ordered a few days ago. Seriously,  can hardly wait.  ran and got a fire extinguisher.	blogs-06-14
 them in flames	blogs-06-15
 a few days ago	blogs-06-19
 nothing got	blogs-06-20
There once  a . The   sitting on a branch of a tree. The  felt that  fox had flattered her and cawed loudly in order for she to show him that she  able to sing.	fables-01-8
 in the beak	fables-01-9
 A Crow a Fox	fables-01-10
 A fox	fables-01-11
 that the beauty of the bird was incomparable	fables-01-12
The  felt that  fox had flattered her and ed loudly in order for she to show him that she was able to sing.	fables-01-13
 in the world makes you wear those ugly horns	fables-02-12
 A lion A lion the lion the lion	fables-02-13
because the lion wanted to eat the bull .	fables-02-14
 the bull to remove every horn of the bull because every horn of the bull was ugly	fables-02-15
because every horn of the bull was ugly .	fables-02-16
 to attempt to kill the bull	fables-02-17
 The lion The lion the lion the lion	fables-02-18
 The police the people the people the people	blogs-01-14
 gas and bean bag bullets	blogs-01-15
because it disagreed about a view .	blogs-01-16
 riot	blogs-01-17
to alleviate the violence	blogs-01-18
The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the  broth.	fables-04-9
 The stork	fables-04-10
The stork easily fitted  long bill   stork into  long and narrow    .	fables-04-11
A  fox invited a stork to dine.	fables-04-12
 some soup in a flat and large dish	fables-04-13
 over the slip	blogs-05-10
because the not-functional elastic of the slip was dysfunctional .	blogs-05-11
 The narrator	blogs-05-12
Ten years ago I   a mixed class of 5th graders ESL.	blogs-05-13
 later that day i	blogs-05-14
No one, strgely,   .	blogs-05-15
 around the group	blogs-05-18
 The narrator lifted the slip and inserted it into a bottom drawer of the desk.	blogs-05-19
 it quickly caught fire and was all burnt up and the farmer	fables-05-9
 The agriculturist set	fables-05-10
 The agriculturist	fables-05-11
because the fox ran into a field .	fables-05-12
The corn ignited and  .	fables-05-13
A few years ago, a   d out on my front lawn when he crashed his motorbike.	blogs-02-13
 on the front yard of a narrator	blogs-02-14
 A young man the young man the young man The narrator the young man the young man the young man	blogs-02-15
 The narrator the narrator the narrator	blogs-02-16
 on the deck in order for Benjamin	blogs-04-10
 The squirrel fell over the deck's railing because the squirrel leaped because the squirrel was startled. The squirrel fell.	blogs-04-11
in order for Benjamin to drink the bowl 's water	blogs-04-12
on the deck 's railing in order for the birds to wait	blogs-04-13
 we	blogs-04-14
 An Eagle	fables-03-13
 the Serpent its coils	fables-03-14
 A countryman was a witness of the encounter	fables-03-15
 A countryman	fables-03-16
 a drinking vessel tried to help the eagle to escape	fables-03-17
 A countryman	fables-03-18
 the eagle from the serpent	fables-03-19
The serpent  some poison in  drinking vessel.	fables-03-20
 the horn when the Eagle knocked it out of his hand and its contents upon the ground	fables-03-21
 in a beautiful pond	mc500.train.25.1
 it start to thunder	mc500.train.111.2
 got hungry and went inside   a biscuit. When at  sre,  had a good laugh at a very silly looking dog.  was happy he n't have   wet walking home.	mc500.train.111.3
 to the living room	mc500.train.111.4
 some lemonade to drink	mc500.train.0.13
After eating,   went back to Ellen's house to have fun.	mc500.train.0.14
yes	mc500.train.0.15
yes	mc500.train.0.16
 ed her friends Kristin and Rachel to meet at Ellen's house.	mc500.train.0.21
to have fun	mc500.train.0.22
 `` i think the newspaper is here	mc500.train.23.16
" Andrew's dad said, ""I think the newspaper is here."	mc500.train.23.17
 The elephant	mc500.train.23.18
The people and     did lots of tricks.	mc500.train.23.19
 he picked up the newspaper and	mc500.train.23.20
 and his dad went  t .	mc500.train.23.21
He promised to bring it some  from  circus for lr.	mc500.train.23.22
 woke up one morng nd went outside to her bck yrd. After  collected ll of the flowers, she went side nd tied them together with strg.  gve her mother the flowers.	mc500.train.18.9
After  collected all of  , she went inside and d m ger with string.	mc500.train.18.17
 she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to	mc500.train.18.18
She hoped    Morgan, who  still in diapers, wouldn't find the flowers and eat them.	mc500.train.18.19
After  collected ll of  , she went inside nd tied m toger with string. After tht, she hd to    in  secret spot.  ws worried, so she hid m in  new spot tht ws up higher.  gve her mor  .	mc500.train.18.20
she went inside and tied them together with string	mc500.train.18.21
